section,category,metric,type,date,value
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2020-12-20,8
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2020-12-20,199775
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2020-12-20,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2020-12-20,128600
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2020-12-20,71175
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2020-12-20,45675
Vaccine Administration,Distribution,Weekly,Janssen,2020-12-20,0
Vaccine Administration,Distribution,Weekly,Moderna,2020-12-20,33000
Vaccine Administration,Distribution,Weekly,Pfizer,2020-12-20,12675
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-21,42542
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-21,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-21,47
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-21,42462
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-21,5
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-21,5475
Vaccine Administration,Administration,Daily,Janssen,2020-12-21,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-21,33
Vaccine Administration,Administration,Daily,Pfizer,2020-12-21,5444
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-21,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-22,50167
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-22,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-22,3704
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-22,46428
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-22,7
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-22,7625
Vaccine Administration,Administration,Daily,Janssen,2020-12-22,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-22,3657
Vaccine Administration,Administration,Daily,Pfizer,2020-12-22,3966
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-22,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-23,64531
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-23,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-23,14189
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-23,50311
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-23,10
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-23,14364
Vaccine Administration,Administration,Daily,Janssen,2020-12-23,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-23,10485
Vaccine Administration,Administration,Daily,Pfizer,2020-12-23,3883
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-23,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-24,68644
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-24,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-24,17591
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-24,51021
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-24,11
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-24,4113
Vaccine Administration,Administration,Daily,Janssen,2020-12-24,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-24,3402
Vaccine Administration,Administration,Daily,Pfizer,2020-12-24,710
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-24,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-25,68657
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-25,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-25,17604
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-25,51021
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-25,11
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-25,13
Vaccine Administration,Administration,Daily,Janssen,2020-12-25,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-25,13
Vaccine Administration,Administration,Daily,Pfizer,2020-12-25,0
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-25,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-26,71217
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-26,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-26,19773
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-26,51412
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-26,11
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-26,2560
Vaccine Administration,Administration,Daily,Janssen,2020-12-26,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-26,2169
Vaccine Administration,Administration,Daily,Pfizer,2020-12-26,391
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-26,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-27,73244
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-27,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-27,21557
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-27,51655
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-27,11
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2020-12-27,123419
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2020-12-27,1
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2020-12-27,54073
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2020-12-27,69281
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-27,25
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-27,2027
Vaccine Administration,Administration,Daily,Janssen,2020-12-27,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-27,1784
Vaccine Administration,Administration,Daily,Pfizer,2020-12-27,243
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-27,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2020-12-27,52190
Vaccine Administration,Administration,Weekly,Janssen,2020-12-27,1
Vaccine Administration,Administration,Weekly,Moderna,2020-12-27,34300
Vaccine Administration,Administration,Weekly,Pfizer,2020-12-27,17869
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2020-12-27,14
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2020-12-27,267400
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2020-12-27,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2020-12-27,146500
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2020-12-27,120900
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2020-12-27,67625
Vaccine Administration,Distribution,Weekly,Janssen,2020-12-27,0
Vaccine Administration,Distribution,Weekly,Moderna,2020-12-27,17900
Vaccine Administration,Distribution,Weekly,Pfizer,2020-12-27,49725
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-28,82244
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-28,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-28,28319
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-28,53885
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-28,16
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-28,9000
Vaccine Administration,Administration,Daily,Janssen,2020-12-28,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-28,6762
Vaccine Administration,Administration,Daily,Pfizer,2020-12-28,2230
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-28,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-29,91342
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-29,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-29,35549
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-29,55750
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-29,19
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-29,9098
Vaccine Administration,Administration,Daily,Janssen,2020-12-29,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-29,7230
Vaccine Administration,Administration,Daily,Pfizer,2020-12-29,1865
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-29,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-30,106747
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-30,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-30,45572
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-30,61130
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-30,21
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-30,15405
Vaccine Administration,Administration,Daily,Janssen,2020-12-30,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-30,10023
Vaccine Administration,Administration,Daily,Pfizer,2020-12-30,5380
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-30,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-31,116512
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-31,0
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-31,51493
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-31,64969
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-31,24
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-31,9765
Vaccine Administration,Administration,Daily,Janssen,2020-12-31,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-31,5921
Vaccine Administration,Administration,Daily,Pfizer,2020-12-31,3839
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-31,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-01,117463
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-01,1
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-01,51910
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-01,65502
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-01,24
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-01,951
Vaccine Administration,Administration,Daily,Janssen,2021-01-01,1
Vaccine Administration,Administration,Daily,Moderna,2021-01-01,417
Vaccine Administration,Administration,Daily,Pfizer,2021-01-01,533
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-01,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-02,123406
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-02,1
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-02,54073
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-02,69281
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-02,25
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-02,5943
Vaccine Administration,Administration,Daily,Janssen,2021-01-02,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-02,2163
Vaccine Administration,Administration,Daily,Pfizer,2021-01-02,3779
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-02,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-03,125465
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-03,1
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-03,54888
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-03,70525
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-03,25
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-03,237764
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-01-03,2
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-03,112053
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-03,125615
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-03,50
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-03,2059
Vaccine Administration,Administration,Daily,Janssen,2021-01-03,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-03,815
Vaccine Administration,Administration,Daily,Pfizer,2021-01-03,1244
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-03,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-03,114345
Vaccine Administration,Administration,Weekly,Janssen,2021-01-03,1
Vaccine Administration,Administration,Weekly,Moderna,2021-01-03,57980
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-03,56334
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-03,25
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-01-03,340050
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-01-03,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-01-03,193800
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-01-03,146250
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-01-03,72650
Vaccine Administration,Distribution,Weekly,Janssen,2021-01-03,0
Vaccine Administration,Distribution,Weekly,Moderna,2021-01-03,47300
Vaccine Administration,Distribution,Weekly,Pfizer,2021-01-03,25350
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-04,134495
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-04,1
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-04,60720
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-04,73718
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-04,28
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-04,9030
Vaccine Administration,Administration,Daily,Janssen,2021-01-04,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-04,5832
Vaccine Administration,Administration,Daily,Pfizer,2021-01-04,3193
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-04,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-05,146584
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-05,1
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-05,68693
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-05,77828
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-05,33
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-05,12089
Vaccine Administration,Administration,Daily,Janssen,2021-01-05,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-05,7973
Vaccine Administration,Administration,Daily,Pfizer,2021-01-05,4110
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-05,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-06,166734
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-06,1
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-06,79671
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-06,86996
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-06,35
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-06,20150
Vaccine Administration,Administration,Daily,Janssen,2021-01-06,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-06,10978
Vaccine Administration,Administration,Daily,Pfizer,2021-01-06,9168
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-06,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-07,193468
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-07,1
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-07,91212
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-07,102182
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-07,42
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-07,26734
Vaccine Administration,Administration,Daily,Janssen,2021-01-07,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-07,11541
Vaccine Administration,Administration,Daily,Pfizer,2021-01-07,15186
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-07,7
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-08,223595
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-08,2
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-08,105068
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-08,118448
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-08,46
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-08,30127
Vaccine Administration,Administration,Daily,Janssen,2021-01-08,1
Vaccine Administration,Administration,Daily,Moderna,2021-01-08,13856
Vaccine Administration,Administration,Daily,Pfizer,2021-01-08,16266
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-08,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-09,237751
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-09,2
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-09,112053
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-09,125615
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-09,50
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-09,14156
Vaccine Administration,Administration,Daily,Janssen,2021-01-09,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-09,6985
Vaccine Administration,Administration,Daily,Pfizer,2021-01-09,7167
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-09,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-10,242296
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-10,2
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-10,113778
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-10,128435
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-10,50
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-10,350591
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-01-10,2
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-10,168436
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-10,182015
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-10,90
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-10,4545
Vaccine Administration,Administration,Daily,Janssen,2021-01-10,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-10,1725
Vaccine Administration,Administration,Daily,Pfizer,2021-01-10,2820
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-10,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-10,112827
Vaccine Administration,Administration,Weekly,Janssen,2021-01-10,0
Vaccine Administration,Administration,Weekly,Moderna,2021-01-10,56383
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-10,56400
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-10,40
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-01-10,517425
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-01-10,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-01-10,323400
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-01-10,194025
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-01-10,177375
Vaccine Administration,Distribution,Weekly,Janssen,2021-01-10,0
Vaccine Administration,Distribution,Weekly,Moderna,2021-01-10,129600
Vaccine Administration,Distribution,Weekly,Pfizer,2021-01-10,47775
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-11,259713
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-11,2
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-11,121931
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-11,137691
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-11,56
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-11,17417
Vaccine Administration,Administration,Daily,Janssen,2021-01-11,0
Vaccine Administration,Administration,Daily,Moderna,2021-01-11,8153
Vaccine Administration,Administration,Daily,Pfizer,2021-01-11,9256
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-11,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-12,278043
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-01-12,2
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-12,130725
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-12,147221
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-12,62
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-12,18330
